gene_id	gene_name	SRX25004070	SRX25004071	SRX25004072	SRX25004073	SRX25004074	SRX25004075	SRX25004076	SRX25004077	SRX25004078	SRX25004080
A1BG	A1BG	141.282	325	77	80	75	69	39	75	64	160.023
A1BG-AS1	A1BG-AS1	134.423	105.788	130.035	91	119.009	142.137	97	118.022	100	166.057
A1CF	A1CF	0	0	1	10	0	6	2	4	1	5
A2M	A2M	657.148	182	646.955	5904.084	12484.872	14720.665	12869.173	31056.978	39730.709	45736.272
A2M-AS1	A2M-AS1	180.188	68	125	151	130.296	128.1	104.051	163.052	124.825	58.012
A2ML1	A2ML1	5	0	0	6	0	1	2	2	1	0
A2MP1	A2MP1	0	1	0	0	0	1	1	0	1	2
A3GALT2	A3GALT2	0	2	3	0	0	1	0	1	0	1
A4GALT	A4GALT	12	15	8	27.028	43	24	20	27	63	108
A4GNT	A4GNT	0	0	0	0	0	0	0	0	0	0
AA06	AA06	0	0	0	0	0	0	0	0	0	0
AAAS	AAAS	2700.797	1572.988	2089.168	2851.304	2474.84	3636.362	2521.697	2792.492	2102.84	2873.744
AACS	AACS	1821.335	1310	1313.389	1461.765	1474.113	1399.325	983.952	2084.088	1525.734	2093.924
AACSP1	AACSP1	4	11	9.001	51	53	39	27	65.032	36	21
AADAC	AADAC	0	0	0	0	0	0	0	0	0	2
AADACL2	AADACL2	0	0	1	0	0	1	0	0	0	0
AADACL3	AADACL3	0	0	0	0	0	0	0	0	2	3
AADACL4	AADACL4	0	0	0	0	0	0	0	0	0	0
AADAT	AADAT	2081.677	614	1692.595	1888.579	1894.006	2178.183	1694.115	1760.392	1422.728	752.737
AAED1	AAED1	233	41	126	235	212.213	177.001	185.542	254.552	210.114	96.999
AAGAB	AAGAB	4171.405	1789	3375.037	4406.951	4473.029	5192.179	3357.626	4816.325	3707.346	2430.883
AAK1	AAK1	5537.758	4047.307	5706.103	4343.68	5854.368	6458.344	5088.596	6769.851	6176.803	5698.522
AAMDC	AAMDC	342.581	122	265.005	372.056	395.86	385.007	286.927	408.015	394.899	488.002
AAMP	AAMP	2856.487	4044.77	2510.804	2688.242	2746.541	3251.658	2479.943	2963.549	2077.382	4895.586
AANAT	AANAT	0	0	3	3	1	1	2	5	4	1
AAR2	AAR2	1761.628	793	1337.989	1813.196	1706.706	1898.517	1478.232	1799.073	1402.036	1917.246
AARD	AARD	72	24	41	69.004	85.071	75.043	80.293	45	43.157	27
AARS	AARS	3973.892	2160.151	3956.971	4344.732	4610.66	4999.55	4779.474	6498.272	4859.279	8536.462
AARS2	AARS2	1515.265	1639	1459.503	1242.108	1536.614	1378.781	1516.209	1525.415	1220.187	2112.459
AARSD1	AARSD1	850.493	685.976	756.849	901.164	895.376	1184.602	847.087	952.825	752.32	1334.166
AASDH	AASDH	1243.787	312.999	792.824	1335.217	1154.179	1167.376	948.6	1003.953	812.652	430.232
AASDHPPT	AASDHPPT	4750.973	1797.255	3733.483	4112.137	4690.248	5016.687	3770.849	4924.065	3740.149	1964.279
AASS	AASS	8447.27	3066.946	6159.544	8643.073	8047.813	8077.488	6634.067	6695.687	4966.898	2201.126
AATF	AATF	1485.46	2414.001	1841.794	1407.61	1654.198	1557.845	1669.012	2320.317	1617.269	4237.967
AATK	AATK	177.75	606	129	209	162	181	91.034	105.009	64	182
AATK-AS1	AATK-AS1	0	4	0	1	3	0	0	0	0	2
ABAT	ABAT	4576.791	3330.988	5078.66	2170.103	4838.211	5130.815	3214.222	4635.601	3530.064	2958.985
ABCA1	ABCA1	4719.183	2290.292	3994.282	4882.535	4524.7	3894.684	2541.954	5295.752	5474.774	6896.114
ABCA10	ABCA10	19	7	35.004	18.005	22	19	17.007	21	33	5
ABCA11P	ABCA11P	843.287	385.704	671.065	886.086	871.787	949.869	746.663	832.489	568.453	432.08
ABCA12	ABCA12	18	1	4	9	8	6	4	13	23	16
ABCA13	ABCA13	508.09	77	236.004	286.066	326.127	370.227	206.109	251.003	154.056	137
ABCA17P	ABCA17P	0	16	2	0	0	0	1	4	0	2
ABCA2	ABCA2	1490.713	1676.993	1222.716	1216.982	1402.815	1506.077	1173.5	1444.439	1192.531	2795.853
ABCA3	ABCA3	1950.066	1595.796	1948.822	1090.319	1463.662	1572.666	1025.837	1871.822	1631.246	2707.192
ABCA4	ABCA4	68.014	14	28	77	78.006	60.355	52	149.051	142.048	232.971
ABCA5	ABCA5	993.41	212.019	1327.902	663	674.535	587.055	482.015	826.24	675.633	247
ABCA6	ABCA6	3	4	11	2	4	4	12	4	0	7
ABCA7	ABCA7	395	666	209.062	271.174	377.89	324.943	176.026	202.11	171	421.049
ABCA8	ABCA8	19	6	19	46	106.011	126	128	31	76.021	86.586
ABCA9	ABCA9	177.65	13	40.004	285.117	319	368.187	253.06	151.12	90	24.414
