"sample","fastq_1","fastq_2","strandedness","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX25004070","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004070_SRR29493488_1.fastq.gz","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004070_SRR29493488_2.fastq.gz","auto","SRR29493488","SRX25004070","SAMN41984825","SRS21704779","PRJNA1126697","SRP515337","SRA1904675","GSM8343537_r1","GSM8343537_r1","GSM8343537","GSE270472","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8343537","Illumina NovaSeq 6000","ILLUMINA","17733419208","87789204","9606","Homo sapiens","IC1_1, RNA passage 4","Illumina NovaSeq 6000 sequencing: GSM8343537: IC1_1, RNA passage 4 Homo sapiens RNA-Seq","Huntingtin loss-of-function contributes to transcriptional deregulation in Huntington's disease (RNA-Seq)","IC1_1, RNA passage 4","94aaa0f5c07d23df46189bd58c4ec6f5;1fb4f8fcfd0253f8df0613b96352a8a4","4262520452;4487026420","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/088/SRR29493488/SRR29493488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/088/SRR29493488/SRR29493488_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/088/SRR29493488/SRR29493488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/088/SRR29493488/SRR29493488_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/088/SRR29493488/SRR29493488_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/088/SRR29493488/SRR29493488_2.fastq.gz"
"SRX25004071","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004071_SRR29493487_1.fastq.gz","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004071_SRR29493487_2.fastq.gz","auto","SRR29493487","SRX25004071","SAMN41984824","SRS21704780","PRJNA1126697","SRP515337","SRA1904675","GSM8343538_r1","GSM8343538_r1","GSM8343538","GSE270472","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8343538","Illumina NovaSeq 6000","ILLUMINA","20404147866","101010633","9606","Homo sapiens","IC1_2, RNA passage 5","Illumina NovaSeq 6000 sequencing: GSM8343538: IC1_2, RNA passage 5 Homo sapiens RNA-Seq","Huntingtin loss-of-function contributes to transcriptional deregulation in Huntington's disease (RNA-Seq)","IC1_2, RNA passage 5","0a92186e8a38df78474c1d9b6024e9d4;08e7854faf3058933b96fd322d2a2ed7","4570536661;4705644979","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/087/SRR29493487/SRR29493487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/087/SRR29493487/SRR29493487_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/087/SRR29493487/SRR29493487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/087/SRR29493487/SRR29493487_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/087/SRR29493487/SRR29493487_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/087/SRR29493487/SRR29493487_2.fastq.gz"
"SRX25004072","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004072_SRR29493486_1.fastq.gz","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004072_SRR29493486_2.fastq.gz","auto","SRR29493486","SRX25004072","SAMN41984823","SRS21704781","PRJNA1126697","SRP515337","SRA1904675","GSM8343539_r1","GSM8343539_r1","GSM8343539","GSE270472","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8343539","Illumina NovaSeq 6000","ILLUMINA","17090293628","84605414","9606","Homo sapiens","IC1_3, RNA passage 6","Illumina NovaSeq 6000 sequencing: GSM8343539: IC1_3, RNA passage 6 Homo sapiens RNA-Seq","Huntingtin loss-of-function contributes to transcriptional deregulation in Huntington's disease (RNA-Seq)","IC1_3, RNA passage 6","900ef407adfc5af62526825cac568d21;f40397b80c5442c6b91a5222f7e118a0","4105557482;4286050392","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/086/SRR29493486/SRR29493486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/086/SRR29493486/SRR29493486_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/086/SRR29493486/SRR29493486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/086/SRR29493486/SRR29493486_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/086/SRR29493486/SRR29493486_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/086/SRR29493486/SRR29493486_2.fastq.gz"
"SRX25004073","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004073_SRR29493485_1.fastq.gz","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004073_SRR29493485_2.fastq.gz","auto","SRR29493485","SRX25004073","SAMN41984822","SRS21704782","PRJNA1126697","SRP515337","SRA1904675","GSM8343540_r1","GSM8343540_r1","GSM8343540","GSE270472","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8343540","Illumina NovaSeq 6000","ILLUMINA","17746228836","87852618","9606","Homo sapiens","HD_1, RNA passage 4","Illumina NovaSeq 6000 sequencing: GSM8343540: HD_1, RNA passage 4 Homo sapiens RNA-Seq","Huntingtin loss-of-function contributes to transcriptional deregulation in Huntington's disease (RNA-Seq)","HD_1, RNA passage 4","343bd9c44cc534b5651f610b7105067a;8a0191ae8eb197dad642d94ebed846d7","4254924305;4499079807","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/085/SRR29493485/SRR29493485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/085/SRR29493485/SRR29493485_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/085/SRR29493485/SRR29493485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/085/SRR29493485/SRR29493485_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/085/SRR29493485/SRR29493485_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/085/SRR29493485/SRR29493485_2.fastq.gz"
"SRX25004074","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004074_SRR29493484_1.fastq.gz","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004074_SRR29493484_2.fastq.gz","auto","SRR29493484","SRX25004074","SAMN41984821","SRS21704783","PRJNA1126697","SRP515337","SRA1904675","GSM8343541_r1","GSM8343541_r1","GSM8343541","GSE270472","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8343541","Illumina NovaSeq 6000","ILLUMINA","18299890636","90593518","9606","Homo sapiens","HD_2, RNA passage 5","Illumina NovaSeq 6000 sequencing: GSM8343541: HD_2, RNA passage 5 Homo sapiens RNA-Seq","Huntingtin loss-of-function contributes to transcriptional deregulation in Huntington's disease (RNA-Seq)","HD_2, RNA passage 5","42b99e0addab4d71e368d69093d22e22;0d25120f2010ab54b5561ac5cf522848","4411769932;4613328663","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/084/SRR29493484/SRR29493484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/084/SRR29493484/SRR29493484_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/084/SRR29493484/SRR29493484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/084/SRR29493484/SRR29493484_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/084/SRR29493484/SRR29493484_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/084/SRR29493484/SRR29493484_2.fastq.gz"
"SRX25004075","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004075_SRR29493483_1.fastq.gz","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004075_SRR29493483_2.fastq.gz","auto","SRR29493483","SRX25004075","SAMN41984820","SRS21704784","PRJNA1126697","SRP515337","SRA1904675","GSM8343542_r1","GSM8343542_r1","GSM8343542","GSE270472","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8343542","Illumina NovaSeq 6000","ILLUMINA","18641975818","92287009","9606","Homo sapiens","HD_3, RNA passage 6","Illumina NovaSeq 6000 sequencing: GSM8343542: HD_3, RNA passage 6 Homo sapiens RNA-Seq","Huntingtin loss-of-function contributes to transcriptional deregulation in Huntington's disease (RNA-Seq)","HD_3, RNA passage 6","0880034eea53c9b4e36898bfba71020e;4521b870a9fa5d349dadf7ad7ccfe512","4481799249;4702229801","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/083/SRR29493483/SRR29493483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/083/SRR29493483/SRR29493483_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/083/SRR29493483/SRR29493483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/083/SRR29493483/SRR29493483_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/083/SRR29493483/SRR29493483_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/083/SRR29493483/SRR29493483_2.fastq.gz"
"SRX25004076","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004076_SRR29493482_1.fastq.gz","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004076_SRR29493482_2.fastq.gz","auto","SRR29493482","SRX25004076","SAMN41984819","SRS21704785","PRJNA1126697","SRP515337","SRA1904675","GSM8343543_r1","GSM8343543_r1","GSM8343543","GSE270472","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8343543","Illumina NovaSeq 6000","ILLUMINA","16278893160","80588580","9606","Homo sapiens","HD_4, RNA passage 7","Illumina NovaSeq 6000 sequencing: GSM8343543: HD_4, RNA passage 7 Homo sapiens RNA-Seq","Huntingtin loss-of-function contributes to transcriptional deregulation in Huntington's disease (RNA-Seq)","HD_4, RNA passage 7","5027f09e6b80804aec7af1a02ea27897;50a3e11e8426171c1003edec97af1cdc","3941848975;4141202887","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/082/SRR29493482/SRR29493482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/082/SRR29493482/SRR29493482_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/082/SRR29493482/SRR29493482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/082/SRR29493482/SRR29493482_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/082/SRR29493482/SRR29493482_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/082/SRR29493482/SRR29493482_2.fastq.gz"
"SRX25004077","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004077_SRR29493481_1.fastq.gz","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004077_SRR29493481_2.fastq.gz","auto","SRR29493481","SRX25004077","SAMN41984818","SRS21704786","PRJNA1126697","SRP515337","SRA1904675","GSM8343544_r1","GSM8343544_r1","GSM8343544","GSE270472","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8343544","Illumina NovaSeq 6000","ILLUMINA","17648161068","87367134","9606","Homo sapiens","KO_1, RNA passage 4","Illumina NovaSeq 6000 sequencing: GSM8343544: KO_1, RNA passage 4 Homo sapiens RNA-Seq","Huntingtin loss-of-function contributes to transcriptional deregulation in Huntington's disease (RNA-Seq)","KO_1, RNA passage 4","fbd8e6af6a7893c9bb42e47aac476ae8;f25d7a58ba6bf73649a3d672de00337a","4242211944;4481950881","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/081/SRR29493481/SRR29493481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/081/SRR29493481/SRR29493481_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/081/SRR29493481/SRR29493481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/081/SRR29493481/SRR29493481_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/081/SRR29493481/SRR29493481_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/081/SRR29493481/SRR29493481_2.fastq.gz"
"SRX25004078","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004078_SRR29493480_1.fastq.gz","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004078_SRR29493480_2.fastq.gz","auto","SRR29493480","SRX25004078","SAMN41984817","SRS21704787","PRJNA1126697","SRP515337","SRA1904675","GSM8343545_r1","GSM8343545_r1","GSM8343545","GSE270472","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8343545","Illumina NovaSeq 6000","ILLUMINA","14489280220","71729110","9606","Homo sapiens","KO_2, RNA passage 5","Illumina NovaSeq 6000 sequencing: GSM8343545: KO_2, RNA passage 5 Homo sapiens RNA-Seq","Huntingtin loss-of-function contributes to transcriptional deregulation in Huntington's disease (RNA-Seq)","KO_2, RNA passage 5","05006ccb2963d732fbc8b9ea7f363a3e;0d6a54b12c2192a09e93c9f1190513c3","3493284392;3624114947","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/080/SRR29493480/SRR29493480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/080/SRR29493480/SRR29493480_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/080/SRR29493480/SRR29493480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/080/SRR29493480/SRR29493480_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/080/SRR29493480/SRR29493480_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/080/SRR29493480/SRR29493480_2.fastq.gz"
"SRX25004080","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004080_SRR29493478_1.fastq.gz","/home/user/cloud/GSE270472/fetchngs/fastq/SRX25004080_SRR29493478_2.fastq.gz","auto","SRR29493478","SRX25004080","SAMN41984815","SRS21704789","PRJNA1126697","SRP515337","SRA1904675","GSM8343547_r1","GSM8343547_r1","GSM8343547","GSE270472","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8343547","Illumina NovaSeq 6000","ILLUMINA","17293524010","85611505","9606","Homo sapiens","KO_4, RNA passage 7","Illumina NovaSeq 6000 sequencing: GSM8343547: KO_4, RNA passage 7 Homo sapiens RNA-Seq","Huntingtin loss-of-function contributes to transcriptional deregulation in Huntington's disease (RNA-Seq)","KO_4, RNA passage 7","1ce2d7b0d3e9306410b9d2d42807fe8b;5ee6b3839d378579dd20c39e2d9afece","4055586320;4153510798","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/078/SRR29493478/SRR29493478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/078/SRR29493478/SRR29493478_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/078/SRR29493478/SRR29493478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/078/SRR29493478/SRR29493478_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/078/SRR29493478/SRR29493478_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR294/078/SRR29493478/SRR29493478_2.fastq.gz"
