gene_id	gene_name	SRX25004070	SRX25004071	SRX25004072	SRX25004073	SRX25004074	SRX25004075	SRX25004076	SRX25004077	SRX25004078	SRX25004080
A1BG	A1BG	1297.038	2287.656	1272.754	1262.799	1212.855	1371.265	1175.521	1229.044	1127.86	1889.395
A1BG-AS1	A1BG-AS1	2273.051	2361.304	2279.426	2273.816	2236.26	2361.287	2215.385	2238.839	2185.62	2672.51
A1CF	A1CF	7433.89263365654	7433.89263365654	8042.341	7926.622	7433.89263365654	7443.517	8123.796	8032.452	8189.99	4947.373
A2M	A2M	5868.1082781911	4659.74	5898.92164219194	5886.64573517093	5864.33522556644	5778.954570294	5889.9923073907	5824.93766575249	5919.50671265368	5633.65519693713
A2M-AS1	A2M-AS1	1961.135	1555.108	1969.904	1962.935	1942.132	1891.456	1931.535	1956.317	1921.556	1565.049
A2ML1	A2ML1	4316.083	5203.9514276803	5203.9514276803	6331.103	5203.9514276803	6266.532	6279.954	4271.75	4323.552	5203.9514276803
A2MP1	A2MP1	1278.03286940254	1024.643	1278.03286940254	1278.03286940254	1278.03286940254	1360.784	1420.832	1278.03286940254	1442.068	1193.493
A3GALT2	A3GALT2	747.409632584183	1149.289	585.344	747.409632584183	747.409632584183	641.09	747.409632584183	588.514	747.409632584183	918.919
A4GALT	A4GALT	1797.36	2410.09	2259.214	1875.71204135338	1792.90089958699	1932.46263723346	1785.126	1699.486	1742.89017915689	2604.85388864969
A4GNT	A4GNT	1599.7	1599.7	1599.7	1599.7	1599.7	1599.7	1599.7	1599.7	1599.7	1599.7
AA06	AA06	461.3	461.3	461.3	461.3	461.3	461.3	461.3	461.3	461.3	461.3
AAAS	AAAS	1645.52247734442	1580.66880966293	1635.28504568128	1628.4902102168	1605.90939349343	1687.88513379476	1587.61654261868	1610.9980385599	1544.07491580203	1820.06453212512
AACS	AACS	3105.44243701392	3096.30566999187	3192.49568535275	3096.35440231209	3123.91079939349	3154.57387364047	3074.05797337819	3094.28984078817	3017.61316900485	3419.05572498906
AACSP1	AACSP1	2268.287	2061.429	2298.954	2273.687	2243.873	2239.71	2222.683	2228.829	2234.52	2154.697
AADAC	AADAC	1015.511	1015.511	1015.511	1015.511	1015.511	1015.511	1015.511	1015.511	1015.511	1015.511
AADACL2	AADACL2	1335.10352789699	1335.10352789699	1400.667	1335.10352789699	1335.10352789699	1272.609	1335.10352789699	1335.10352789699	1335.10352789699	1335.10352789699
AADACL3	AADACL3	3861.56190775831	3861.56190775831	3861.56190775831	3861.56190775831	3861.56190775831	3861.56190775831	3861.56190775831	3861.56190775831	3839.99	3883.255
AADACL4	AADACL4	1349.2	1349.2	1349.2	1349.2	1349.2	1349.2	1349.2	1349.2	1349.2	1349.2
AADAT	AADAT	2100.57182230103	1661.86825265772	2144.02885641869	2092.87740788688	2122.19633321712	2019.55857568063	2103.56796463326	2098.96709642326	2140.91008352348	1687.59248930296
AAED1	AAED1	1033.54159855786	723.917648009978	1017.66935998294	970.09278588963	1102.63723202222	939.600573360093	937.607126708271	973.267316368558	947.871060468764	663.415725811368
